"Date","USD_INR","Pound_INR","Euro_INR"
2015-09-08,66.41445,102.27493417,74.42602548
2015-09-09,66.61745,102.30241997,74.73345416
2015-09-10,66.32545,102.38593459,74.87148537
2015-09-11,66.24245,102.19885337,75.0858284
2015-09-12,66.24245,102.19885337,75.0858284
2015-09-13,66.24245,102.31312058,75.1255633
2015-09-14,66.32445,102.3100067,74.99742797
2015-09-15,66.43745,101.93855599,74.88604075
2015-09-16,66.20245,102.71872888,74.74819345
2015-09-17,66.13145,102.94682897,75.39845039
2015-09-18,65.87045,102.3001105,74.48960138
2015-09-19,65.87045,102.3001105,74.48960138
2015-09-20,65.87045,102.27935348,74.37103286
2015-09-21,65.68495,101.86093748,73.56988584
2015-09-22,65.88145,101.14120355,73.2635
2015-09-23,66.17045,100.90332147,74.03083806
2015-09-24,66.22845,100.84937292,74.03674372
2015-09-25,66.16345,100.43611881,74.06667881
2015-09-26,66.16345,100.43611881,74.06667881
2015-09-27,66.2,100.643884,74.147322
2015-09-28,66.36845,100.6344932,74.52812054
2015-09-29,65.92845,99.91456673,74.19324072
2015-09-30,65.53645,99.0976665,73.20323187
2015-10-01,65.62545,99.34085356,73.45024227
2015-10-02,65.21895,98.98933314,73.11044656
2015-10-03,65.21895,98.98933314,73.11044656
2015-10-04,65.21895,99.04802478,73.17794502
2015-10-05,65.13145,98.69368694,72.91140284
2015-10-06,65.19145,99.26702318,73.45885417
2015-10-07,64.94545,99.46493135,72.98407334
2015-10-08,65.00245,99.623578,73.3488
2015-10-09,64.77745,99.2811651,73.57747063
2015-10-10,64.77745,99.2811651,73.57747063
2015-10-11,64.77945,99.2550748,73.65099757
2015-10-12,64.78045,99.34665077,73.55172444
2015-10-13,65.09345,99.29843113,74.10238499
2015-10-14,64.85545,100.287748,74.41417069
2015-10-15,64.79245,100.24040015,73.65832516
2015-10-16,64.70445,99.89720363,73.43308227
2015-10-17,64.70445,99.89720363,73.43308227
2015-10-18,64.70445,99.87131923,73.49325564
2015-10-19,64.95945,100.49551977,73.58281888
2015-10-20,65.00245,100.40278578,73.80378324
2015-10-21,65.17145,100.52044599,73.94355
2015-10-22,65.05745,100.08609664,72.0955594
2015-10-23,65.03145,99.58919515,71.64843674
2015-10-24,65.03145,99.58919515,71.64843674
2015-10-25,65.03145,99.59014331,71.64843674
2015-10-26,64.92945,99.68650973,71.80872712
2015-10-27,65.08545,99.65265826,71.81203164
2015-10-28,65.24545,99.61610394,71.30675786
2015-10-29,65.45045,100.27925292,71.96277053
2015-10-30,65.42045,101.12693539,72.02137567
2015-10-31,65.405,101.1030615,72.004372
2015-11-01,65.405,100.98564865,72.004372
2015-11-02,65.56445,101.11251182,72.22579963
2015-11-03,65.53945,101.05036291,71.8377919
2015-11-04,65.57945,100.91136287,71.25207318
2015-11-05,65.88895,100.21248133,71.72012308
2015-11-06,66.06895,99.43047284,70.97127011
2015-11-07,66.06895,99.43047284,70.97127011
2015-11-08,66.06895,99.45094828,70.97127011
2015-11-09,66.42195,100.42533941,71.46337691
2015-11-10,66.23395,100.25402641,71.13526691
2015-11-11,66.07395,100.57611881,71.1154107
2015-11-12,66.06195,100.61995004,71.44600363
2015-11-13,66.09895,100.68192466,71.18196428
2015-11-14,66.09895,100.68192466,71.18196428
2015-11-15,66.11,100.602563,71.193864
2015-11-16,65.89445,100.16813073,70.42139947
2015-11-17,66.05245,100.51036235,70.29632105
2015-11-18,66.08445,100.70312012,70.49558742
2015-11-19,66.07845,101.00091234,70.86583484
2015-11-20,66.10895,100.42941592,70.39611692
2015-11-21,66.10895,100.42941592,70.39611692
2015-11-22,66.10895,100.41288617,70.39611692
